"Name","Display","Dlt","Std"
"South Africa Standard Time","(GMT+02:00) 하라레, 프리토리아","남아프리카 일광 절약 시간제","남아프리카 표준시"
"Sri Lanka Standard Time","(GMT+05:30) 스리자야와르데네푸라","스리랑카 일광 절약 시간제","스리랑카 표준시"
"Syria Standard Time","(GMT+02:00) 다마스쿠스","시리아 일광 절약 시간","시리아 표준시"
"Taipei Standard Time","(GMT+08:00) 타이베이","타이베이 일광 절약 시간제","타이베이 표준시"
"Tasmania Standard Time","(GMT+10:00) 호바트","태즈메이니아 일광 절약 시간제","태즈메이니아 표준시"
"Tokyo Standard Time","(GMT+09:00) 오사카, 삿포로, 도쿄","동경 일광 절약 시간제","동경 표준시"
"Tonga Standard Time","(GMT+13:00) 누쿠알로파","통가 일광 절약 시간제","통가 표준시"
"Turkey Standard Time","(GMT+02:00) 이스탄불","터키 일광 절약 시간","터키 표준 시간"
"Ulaanbaatar Standard Time","(GMT+08:00) 울란바토르","울란바토르 일광 절약 시간","울란바토르 표준시"
"US Eastern Standard Time","(GMT-05:00) 인디애나 (동부)","미국 동부 일광 절약 시간제","미국 동부 표준시"
"US Mountain Standard Time","(GMT-07:00) 애리조나","미국 산지 일광 절약 시간제","미국 산지 표준시"
"UTC","(GMT) 협정 세계시","협정 세계시","협정 세계시"
"UTC+12","(GMT+12:00) 협정 세계시+12","UTC+12","UTC+12"
"UTC-02","(GMT-02:00) 협정 세계시-02","UTC-02","UTC-02"
"UTC-11","(GMT-11:00) 협정 세계시-11","UTC-11","UTC-11"
"Venezuela Standard Time","(GMT-04:30) 카라카스","베네수엘라 일광 절약 시간","베네수엘라 표준시"
"Vladivostok Standard Time","(GMT+11:00) 블라디보스토크","블라디보스톡 일광 절약 시간제","블라디보스톡 표준시"
"W. Australia Standard Time","(GMT+08:00) 퍼스","서부 오스트레일리아 일광 절약 시간제","서부 오스트레일리아 표준시"
"W. Central Africa Standard Time","(GMT+01:00) 서중앙 아프리카","서중앙 아프리카 일광 절약 시간제","서중앙 아프리카 표준시"
"W. Europe Standard Time","(GMT+01:00) 암스테르담, 베를린, 베른, 로마, 스톡홀름, 빈","서유럽 일광 절약 시간제","서유럽 표준시"
"West Asia Standard Time","(GMT+05:00) 타슈켄트","서아시아 일광 절약 시간제","서아시아 표준시"
"West Pacific Standard Time","(GMT+10:00) 괌, 포트모르즈비","서태평양 일광 절약 시간제","서태평양 표준시"
"Yakutsk Standard Time","(GMT+10:00) 야쿠츠크","야쿠츠크 일광 절약 시간제","야쿠츠크 표준시"
